Date : 2026-03-12 00:45:41
Directory : /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt
Total : 220 files,  35297 codes, 676 comments, 3065 blanks, all 39038 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/bookings.vue                                                                                                                           | Vue                |        218 |         10 |         96 |        324 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/index.vue                                                                                                                              | Vue                |         81 |          1 |         17 |         99 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/kitchen.vue                                                                                                                            | Vue                |        121 |          6 |         88 |        215 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/menu.vue                                                                                                                               | Vue                |        196 |          0 |         58 |        254 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/orders/[order_id].vue                                                                                                                  | Vue                |        213 |          0 |         32 |        245 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/orders/index.vue                                                                                                                       | Vue                |        170 |          7 |         24 |        201 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/pos.vue                                                                                                                                | Vue                |         19 |          0 |          9 |         28 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/qr-codes.vue                                                                                                                           | Vue                |         30 |          3 |         25 |         58 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/roster.vue                                                                                                                             | Vue                |         76 |         13 |         73 |        162 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/roster/leave-requests.vue                                                                                                              | Vue                |        161 |          9 |         25 |        195 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/roster/staff-availability.vue                                                                                                          | Vue                |         23 |          0 |         16 |         39 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/roster/suggestion.vue                                                                                                                  | Vue                |          5 |          0 |          4 |          9 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/roster/weekly.vue                                                                                                                      | Vue                |          7 |          0 |         16 |         23 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/staff.vue                                                                                                                              | Vue                |          8 |          0 |          4 |         12 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/staff/index.vue                                                                                                                        | Vue                |        283 |         14 |         36 |        333 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/stock/index.vue                                                                                                                        | Vue                |        214 |          8 |         39 |        261 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/stock/print-qr-labels.vue                                                                                                              | Vue                |         26 |          0 |          6 |         32 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/stock/qr-labels.vue                                                                                                                    | Vue                |         42 |          0 |         10 |         52 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/stock/update/[stock_id].vue                                                                                                            | Vue                |        125 |          0 |         26 |        151 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/tables/index.vue                                                                                                                       | Vue                |        224 |          9 |         48 |        281 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/dashboard/tables/print-qr-codes.vue                                                                                                              | Vue                |         18 |          1 |         16 |         35 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/index.vue                                                                                                                                        | Vue                |        493 |          0 |         35 |        528 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/order-table/[table_id].vue                                                                                                                       | Vue                |        129 |         22 |         98 |        249 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/order-table/checkout/index.vue                                                                                                                   | Vue                |         37 |          0 |         39 |         76 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/order-table/checkout/return.vue                                                                                                                  | Vue                |         75 |          1 |         37 |        113 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/print-roster.vue                                                                                                                                 | Vue                |         72 |          3 |         53 |        128 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/docker-compose.yml                                                                                                                                         | YAML               |         14 |          0 |          3 |         17 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/nuxt.config.ts                                                                                                                                             | TypeScript         |         96 |          2 |         14 |        112 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/package-lock.json                                                                                                                                          | JSON               |     22,914 |          0 |          1 |     22,915 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/package.json                                                                                                                                               | JSON               |         58 |          0 |          1 |         59 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma.config.ts                                                                                                                                           | TypeScript         |         11 |          0 |          3 |         14 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251110061727_init/migration.sql                                                                                                        | MS SQL             |         16 |          4 |          6 |         26 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251110064400_init/migration.sql                                                                                                        | MS SQL             |          1 |          7 |          1 |          9 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251110143245/migration.sql                                                                                                             | MS SQL             |         37 |         18 |         14 |         69 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251120035811_added_booking_schema/migration.sql                                                                                        | MS SQL             |         23 |          5 |          7 |         35 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251120040402_removed_table_location_from_booking/migration.sql                                                                         | MS SQL             |          1 |          7 |          1 |          9 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251205013948_added_orders_schema/migration.sql                                                                                         | MS SQL             |         25 |          6 |          8 |         39 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251205053810_added_menuitme/migration.sql                                                                                              | MS SQL             |         13 |          4 |          5 |         22 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251209073346_added_ordertype_to_order_table/migration.sql                                                                              | MS SQL             |          2 |          2 |          2 |          6 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251216020406/migration.sql                                                                                                             | MS SQL             |          2 |          8 |          2 |         12 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251216021232_made_order_number_nullable/migration.sql                                                                                  | MS SQL             |          1 |          1 |          1 |          3 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251220075747_all_the_prices_are_changed_to_integer_and_changed_the_price_to_cents_from_dollar/migration.sql                            | MS SQL             |          6 |         13 |          3 |         22 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251225071737_added_checkout_session_id_in_order_model/migration.sql                                                                    | MS SQL             |          2 |          9 |          2 |         13 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251226050459_removed_the_order_number_cause_no_need_for_it/migration.sql                                                               | MS SQL             |          2 |          8 |          2 |         12 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251230031205_added_customer_name_in_order/migration.sql                                                                                | MS SQL             |          1 |          1 |          1 |          3 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20251230031325_removed_the_default_value_for_customername_in_orderschema/migration.sql                                                   | MS SQL             |          1 |          1 |          1 |          3 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20260116034846_added_profile_photo_url_in_staff/migration.sql                                                                            | MS SQL             |          1 |          1 |          1 |          3 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20260116035250_added_availablility_weekday_enum/migration.sql                                                                            | MS SQL             |          3 |          8 |          2 |         13 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20260116035819_set_default_availablity_for_testing_purpose/migration.sql                                                                 | MS SQL             |          1 |          1 |          1 |          3 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20260116041231_added_joined_date_in_staff/migration.sql                                                                                  | MS SQL             |          2 |          1 |          1 |          4 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20260130043403_added_employment_type_and_perhourate_with_default_values_intially/migration.sql                                           | MS SQL             |          3 |          2 |          2 |          7 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20260130043557_the_default_emplymenttype_and_per_hour_rate_is_removed_as_filling_data_in_the_tables_have_been_done_already/migration.sql | MS SQL             |          2 |          1 |          1 |          4 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20260202164013_added_the_stock_table/migration.sql                                                                                       | MS SQL             |         15 |          2 |          3 |         20 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20260303064727_post_reset_check/migration.sql                                                                                            | MS SQL             |          2 |          2 |          2 |          6 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20260303065146/migration.sql                                                                                                             | MS SQL             |         11 |         10 |          3 |         24 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/migrations/20260305172748_maked_the_staff_profile_photo_optional/migration.sql                                                                      | MS SQL             |          2 |          1 |          1 |          4 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/prisma/schema.prisma                                                                                                                                       | Prisma             |        170 |         17 |         38 |        225 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/railpack.json                                                                                                                                              | JSON               |          8 |          0 |          2 |         10 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/response.ts                                                                                                                                                | TypeScript         |        320 |          0 |          1 |        321 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/bookings/[booking-id].put.ts                                                                                                                    | TypeScript         |         14 |          0 |          3 |         17 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/bookings/index.get.ts                                                                                                                           | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/bookings/index.post.ts                                                                                                                          | TypeScript         |          8 |          1 |          3 |         12 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/dashboard/stats/popular-items.get.ts                                                                                                            | TypeScript         |         34 |          1 |          3 |         38 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/dashboard/stats/recent-order.get.ts                                                                                                             | TypeScript         |         24 |          0 |          3 |         27 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/dashboard/stats/revenue-trend.get.ts                                                                                                            | TypeScript         |         19 |          0 |          2 |         21 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/dashboard/stats/soldbycategory.get.ts                                                                                                           | TypeScript         |         35 |          4 |          7 |         46 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/dashboard/stats/weekly-kpi.get.ts                                                                                                               | TypeScript         |         73 |          0 |          8 |         81 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/leave-requests/[request_id].delete.ts                                                                                                           | TypeScript         |         10 |          0 |          1 |         11 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/leave-requests/[request_id].put.ts                                                                                                              | TypeScript         |         14 |          1 |          2 |         17 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/leave-requests/index.get.ts                                                                                                                     | TypeScript         |         12 |          0 |          1 |         13 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/leave-requests/index.post.ts                                                                                                                    | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/menu/[menu_id].delete.ts                                                                                                                        | TypeScript         |         14 |          0 |          4 |         18 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/menu/[menu_id].put.ts                                                                                                                           | TypeScript         |         29 |          0 |          5 |         34 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/menu/category.get.ts                                                                                                                            | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/menu/index.get.ts                                                                                                                               | TypeScript         |          7 |          0 |          3 |         10 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/menu/index.post.ts                                                                                                                              | TypeScript         |         22 |          0 |          5 |         27 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/menu/order-menu.get.ts                                                                                                                          | TypeScript         |         10 |          0 |          3 |         13 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/menu/update_availability/[menu_item_id].patch.ts                                                                                                | TypeScript         |         24 |          0 |          5 |         29 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/orders/[order_id].get.ts                                                                                                                        | TypeScript         |         29 |          0 |          6 |         35 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/orders/completed.get.ts                                                                                                                         | TypeScript         |         25 |          3 |          5 |         33 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/orders/index.get.ts                                                                                                                             | TypeScript         |         60 |          1 |         11 |         72 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/orders/index.post.ts                                                                                                                            | TypeScript         |          0 |         91 |          9 |        100 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/orders/index.put.ts                                                                                                                             | TypeScript         |         47 |          9 |         11 |         67 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/orders/pending.get.ts                                                                                                                           | TypeScript         |         20 |          1 |          3 |         24 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/roster-agent/index.post.ts                                                                                                                      | TypeScript         |         93 |          0 |         10 |        103 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/shift/[shiftId].delete.ts                                                                                                                       | TypeScript         |         10 |          0 |          1 |         11 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/shift/[shiftId].get.ts                                                                                                                          | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/shift/[shiftId].put.ts                                                                                                                          | TypeScript         |         13 |          0 |          4 |         17 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/shift/createmany.post.ts                                                                                                                        | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/shift/index.get.ts                                                                                                                              | TypeScript         |         38 |          1 |          6 |         45 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/shift/index.post.ts                                                                                                                             | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/staff/[staffId].delete.ts                                                                                                                       | TypeScript         |         16 |          0 |          5 |         21 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/staff/[staffId].patch.ts                                                                                                                        | TypeScript         |         21 |          0 |          3 |         24 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/staff/[staffId].ts                                                                                                                              | TypeScript         |         10 |          1 |          3 |         14 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/staff/index.delete.ts                                                                                                                           | TypeScript         |         17 |          0 |          4 |         21 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/staff/index.get.ts                                                                                                                              | TypeScript         |         19 |          0 |          2 |         21 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/staff/index.post.ts                                                                                                                             | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/staff/upload-profile-picture.post.ts                                                                                                            | TypeScript         |          2 |          6 |          1 |          9 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/stock/[id].delete.ts                                                                                                                            | TypeScript         |         14 |          0 |          4 |         18 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/stock/[id].get.ts                                                                                                                               | TypeScript         |         20 |          0 |          5 |         25 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/stock/[id].put.ts                                                                                                                               | TypeScript         |         18 |          0 |          4 |         22 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/stock/index.get.ts                                                                                                                              | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/stock/index.post.ts                                                                                                                             | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/stripe-checkout/index.post.ts                                                                                                                   | TypeScript         |         45 |          8 |         10 |         63 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/stripe-checkout/session-status/index.get.ts                                                                                                     | TypeScript         |        103 |         17 |         15 |        135 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/stripe-checkout/session-status/test.ts                                                                                                          | TypeScript         |        130 |          0 |          1 |        131 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/tables/[table_id].delete.ts                                                                                                                     | TypeScript         |         11 |          0 |          3 |         14 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/tables/[table_id].get.ts                                                                                                                        | TypeScript         |         22 |          0 |          5 |         27 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/tables/index.get.ts                                                                                                                             | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/tables/index.post.ts                                                                                                                            | TypeScript         |         27 |          0 |          4 |         31 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/tables/index.put.ts                                                                                                                             | TypeScript         |         40 |          0 |          6 |         46 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/vapi-booking-tool/index.get.ts                                                                                                                  | TypeScript         |          9 |          0 |          1 |         10 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/vapi-booking-tool/index.post.ts                                                                                                                 | TypeScript         |         41 |          0 |          6 |         47 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/api/websocket.ts                                                                                                                                    | TypeScript         |         18 |          1 |          5 |         24 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/utils/dateRange.ts                                                                                                                                  | TypeScript         |         34 |          0 |         11 |         45 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/utils/kitchenSocket.ts                                                                                                                              | TypeScript         |         15 |          0 |          4 |         19 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/utils/prisma.ts                                                                                                                                     | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/server/utils/toMinutes.ts                                                                                                                                  | TypeScript         |         14 |          3 |          4 |         21 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/tsconfig.json                                                                                                                                              | JSON with Comments |         17 |          1 |          1 |         19 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/types/accordionItems.ts                                                                                                                                    | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/types/cloudinary.ts                                                                                                                                        | TypeScript         |         21 |          0 |          1 |         22 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/types/dashboard-analytics.ts                                                                                                                               | TypeScript         |         42 |          0 |          6 |         48 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/types/order-cart.ts                                                                                                                                        | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/types/orderwithInclude.ts                                                                                                                                  | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/types/revenuetrend.ts                                                                                                                                      | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/types/shift_include_staff.ts                                                                                                                               | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/types/websocket_payload.ts                                                                                                                                 | TypeScript         |         10 |          1 |          3 |         14 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/zod_schema/roster_agent_schema.ts                                                                                                                          | TypeScript         |         54 |         14 |         11 |         79 |
| Total                                                                                                                                                                                                                       |                    |     35,297 |        676 |      3,065 |     39,038 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
