"filename", "language", "TypeScript", "Vue", "XML", "PostCSS", "JSON", "JSON with Comments", "YAML", "Prisma", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/kitchenDisplay_components/Loading_Order_Item.vue", "Vue", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 49
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/kitchenDisplay_components/Order_Item.vue", "Vue", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50, 111
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/manage_table_components/Add_Table_Modal_Component.vue", "Vue", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 116
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/manage_table_components/Edit_Table_Modal_Component.vue", "Vue", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 102
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/manage_table_components/Table_Loading_Skeleton.vue", "Vue", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/manage_table_components/Table_QR_Code.vue", "Vue", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 50
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/menu_components/AddMenuItemModal.vue", "Vue", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 189
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/menu_components/DeleteMenuItemConfirmModal.vue", "Vue", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 55
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/menu_components/EditMenuItemModal.vue", "Vue", 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 235
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/menu_components/MenuItemCard.vue", "Vue", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 98
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/order_dashboard_components/Loading_order.vue", "Vue", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/order_dashboard_components/Order_DetailsCard.vue", "Vue", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 105
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/pos_components/Table_Card.vue", "Vue", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 38
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/qr_order_components/Cart_Item.vue", "Vue", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 67
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/qr_order_components/Menu_Item.vue", "Vue", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 17, 31, 97
